$submission_id,$created,Participant number,What is your gender,How old are you?,What is your dominant hand?,How experienced are you with robotic systems?,Did you experience delays between your actions and the robot&#39;s movements?,How difficult was it to perform the task?,I felt like I was controlling the movement of the robot,It felt like the robot was part of my body,Did you experience delays between your actions and the robot&#39;s movements?.1,How difficult was it to perform the task?.1,I felt like I was controlling the movement of the robot.1,It felt like the robot was part of my body.1,Did you experience delays between your actions and the robot&#39;s movements?.2,How difficult was it to perform the task?.2,I felt like I was controlling the movement of the robot.2,It felt like the robot was part of my body.2,Did you experience delays between your actions and the robot&#39;s movements?.3,How difficult was it to perform the task?.3,I felt like I was controlling the movement of the robot.3,It felt like the robot was part of my body.3,Did you experience delays between your actions and the robot&#39;s movements?.4,How difficult was it to perform the task?.4,I felt like I was controlling the movement of the robot.4,It felt like the robot was part of my body.4,moved blocks|0,moved blocks|1,moved blocks|2,moved blocks|3,moved blocks|4,latency applied|0,latency applied|1,latency applied|2,latency applied|3,latency applied|4
38973009,2025-11-05,1,Male,24,Left hand,1,3,3,3,1,3,3,3,1,2,2,3,1,2,3,2,1,3,3,3,1,4,4,6,4,6,150ms,200ms,50ms,100ms,0ms
38974447,2025-11-05,2,Female,22,Right hand,1,2,4,4,3,2,3,5,3,2,2,5,4,1,2,5,4,1,2,5,4,2,3,4,6,6,200ms,100ms,150ms,0ms,50ms
38979720,2025-11-05,3,Other,24,Right hand,1,3,3,2,1,2,3,3,1,3,3,4,1,2,2,4,1,5,2,4,1,6,4,4,6,4,50ms,150ms,100ms,0ms,200ms
38984806,2025-11-05,5,Male,23,Right hand,1,1,4,1,1,1,3,4,1,1,4,3,1,1,5,4,1,2,3,3,1,2,4,2,3,5,150ms,0ms,200ms,50ms,100ms
38985668,2025-11-05,6,Male,22,Right hand,1,1,3,3,1,1,2,4,2,3,3,2,1,2,3,3,3,2,2,3,2,1,3,2,2,4,150ms,100ms,200ms,0ms,50ms
38993258,2025-11-06,7,Female,24,Left hand,1,2,3,3,3,3,4,3,2,2,4,4,3,2,3,4,3,2,3,4,3,3,2,2,3,3,50ms,200ms,0ms,100ms,150ms
38994892,2025-11-06,8,Male,22,Right hand,1,1,3,5,3,1,3,5,3,1,3,2,3,3,3,2,3,3,3,2,3,5,6,6,4,3,150ms,50ms,0ms,200ms,100ms
38997726,2025-11-06,9,Male,24,Right hand,1,2,2,4,4,2,2,4,4,2,3,4,3,1,1,5,5,3,1,4,4,4,4,2,6,9,150ms,200ms,100ms,50ms,0ms
38999217,2025-11-06,10,Female,26,Right hand,1,2,3,5,2,2,2,4,4,3,3,3,3,2,2,4,4,4,3,3,2,2,4,6,6,4,150ms,50ms,200ms,0ms,100ms
39012835,2025-11-06,11,Male,23,Right hand,1,3,4,3,2,3,3,3,2,5,3,2,1,3,2,4,3,1,2,4,3,3,3,2,4,3,0ms,50ms,200ms,150ms,100ms
39015345,2025-11-06,12,Male,24,Right hand,1,3,2,4,3,2,2,4,4,3,2,3,3,4,3,3,2,3,2,4,4,6,9,10,6,11,0ms,100ms,150ms,50ms,0ms
39030804,2025-11-07,13,Male,23,Right hand,1,1,3,4,4,1,3,4,4,1,3,4,4,2,4,3,2,4,4,2,2,2,2,1,2,2,0ms,50ms,100ms,150ms,200ms
39032294,2025-11-07,14,Male,24,Right hand,1,4,3,5,3,4,2,4,3,4,2,5,3,5,3,4,3,2,2,5,5,4,5,5,5,6,200ms,150ms,0ms,100ms,50ms
39036857,2025-11-07,15,Male,31,Right hand,1,1,3,4,3,1,3,5,3,2,3,4,3,2,3,4,4,2,2,5,4,5,5,4,5,4,0ms,50ms,200ms,150ms,100ms
39038045,2025-11-07,16,Female,24,Left hand,1,2,2,5,3,3,2,5,2,1,1,5,5,2,2,5,4,2,2,5,3,6,6,9,5,6,100ms,200ms,0ms,50ms,150ms
39040878,2025-11-07,17,Male,24,Right hand,1,3,4,2,1,2,4,3,1,2,4,3,2,1,4,3,2,1,2,5,3,0,2,2,2,4,100ms,150ms,200ms,50ms,0ms
39041688,2025-11-07,18,Male,24,Right hand,1,4,4,5,1,1,2,5,2,3,3,4,1,4,4,4,1,1,1,5,2,2,4,4,2,5,100ms,0ms,150ms,200ms,50ms
39061275,2025-11-10,19,Male,23,Right hand,1,2,2,4,3,3,4,4,3,2,1,4,4,3,3,4,3,3,2,4,2,4,2,4,3,3,100ms,200ms,0ms,150ms,50ms
39071139,2025-11-10,21,Female,26,Right hand,1,4,4,2,1,1,3,4,3,4,3,3,2,4,3,3,2,3,4,4,3,1,4,4,5,4,100ms,0ms,50ms,150ms,200ms
39073080,2025-11-10,22,Female,30,Right hand,2,1,2,5,5,2,3,4,4,1,2,5,5,1,1,1,5,1,2,1,5,3,2,3,3,2,200ms,0ms,150ms,100ms,50ms
39076095,2025-11-10,23,Male,24,Right hand,1,2,3,4,2,2,3,4,3,2,2,4,4,3,3,3,3,3,1,3,2,5,3,4,4,6,150ms,50ms,100ms,200ms,0ms
39077199,2025-11-10,24,Male,24,Right hand,1,2,2,5,4,2,1,5,4,2,1,5,4,2,3,4,3,1,1,5,5,4,5,6,2,8,100ms,0ms,200ms,50ms,0ms
39088495,2025-11-11,25,Male,23,Right hand,1,1,2,5,3,3,3,4,3,2,2,4,4,2,2,5,3,4,2,3,2,2,3,4,5,4,200ms,100ms,150ms,50ms,0ms
39090554,2025-11-11,26,Male,23,Right hand,1,2,3,5,3,3,4,3,2,2,3,4,2,3,2,4,2,2,3,4,3,2,0,2,2,3,150ms,200ms,0ms,50ms,100ms
39094041,2025-11-11,27,Female,25,Right hand,1,2,3,5,4,3,3,4,3,4,4,3,2,4,4,3,2,3,3,3,2,7,7,4,4,5,0ms,50ms,100ms,200ms,150ms
39095612,2025-11-11,28,Male,25,Right hand,1,4,4,3,1,5,4,2,1,2,2,4,2,3,3,3,1,4,3,3,1,3,2,6,3,5,100ms,200ms,150ms,0ms,50ms
39098186,2025-11-11,29,Female,30,Right hand,1,2,3,4,2,2,2,5,3,5,3,4,2,4,3,5,2,2,2,5,4,5,6,4,4,6,0ms,50ms,150ms,200ms,100ms
